home_team,away_team,home_score,away_score
Colts,Jets,10,13
Patriots,Redskins,6,23
49ers,Ravens,3,23
Bengals,Chiefs,39,41
Seahawks,Broncos,16,21
Cowboys,Chargers,7,27
Dolphins,Falcons,10,16
Bills,Panthers,20,18
Buccaneers,Jaguars,10,16
Saints,Rams,26,24
Raiders,Vikings,6,10
Eagles,Bears,28,34
Steelers,Giants,16,20
Browns,Lions,12,13
Packers,Titans,16,20
Texans,Cardinals,0,32
Jaguars,Bears,19,20
Eagles,Patriots,35,42
Titans,Saints,24,31
Chargers,Seahawks,14,41
Lions,Raiders,26,27
Packers,Rams,21,7
Ravens,Cowboys,37,30
Giants,Colts,27,26
Jets,Bengals,25,17
Bills,Steelers,16,19
Dolphins,Buccaneers,20,14
Falcons,Texans,7,32
Cardinals,Vikings,28,30
Broncos,49ers,34,0
Chiefs,Panthers,16,28
Browns,Redskins,23,24
Bears,Seahawks,0,31
Steelers,Eagles,21,31
Jaguars,Lions,12,13
Giants,Jets,35,24
Panthers,Patriots,7,30
Raiders,Packers,21,31
